observed_packet_detection_rate,drop_rate,total_detected,total_attacks,final_buffer_utilization,final_throughput,p,lambda,rep
0.27,0.0,135,10,0.0,0.0,0.3,1.0,27
0.274,0.0,137,11,0.0,0.0,0.3,1.0,28
0.30857142857142855,0.0,216,14,0.0,0.0,0.3,1.0,29
0.4866666666666667,0.0,73,3,0.0,0.0,0.45,0.1,0
0.5,0.0,25,1,0.0,0.0,0.45,0.1,1
0.34,0.0,17,1,0.0,0.0,0.45,0.1,2
0.44,0.0,22,1,0.0,0.0,0.45,0.1,3
0.0,0.0,0,0,0.0,0.0,0.45,0.1,4
0.4,0.0,20,1,0.0,0.0,0.45,0.1,5
0.44,0.0,22,1,0.0,0.0,0.45,0.1,6
0.0,0.0,0,0,0.0,0.0,0.45,0.1,7
0.37,0.0,37,2,0.0,0.0,0.45,0.1,8
0.5,0.0,25,1,0.0,0.0,0.45,0.1,9
0.45,0.0,45,2,0.0,0.0,0.45,0.1,10
0.0,0.0,0,0,0.0,0.0,0.45,0.1,11
0.48,0.0,24,1,0.0,0.0,0.45,0.1,12
0.52,0.0,26,1,0.0,0.0,0.45,0.1,13
0.58,0.0,29,1,0.0,0.0,0.45,0.1,14
0.48,0.0,24,1,0.0,0.0,0.45,0.1,15
0.46,0.0,23,1,0.0,0.0,0.45,0.1,16
0.5,0.0,25,1,0.0,0.0,0.45,0.1,17
0.0,0.0,0,0,0.0,0.0,0.45,0.1,18
0.0,0.0,0,0,0.0,0.0,0.45,0.1,19
0.44,0.0,44,2,0.0,0.0,0.45,0.1,20
0.5,0.0,25,1,0.0,0.0,0.45,0.1,21
0.4,0.0,60,3,0.0,0.0,0.45,0.1,22
0.0,0.0,0,0,0.0,0.0,0.45,0.1,23
0.42,0.0,42,2,0.0,0.0,0.45,0.1,24
0.44,0.0,22,1,0.0,0.0,0.45,0.1,25
0.0,0.0,0,0,0.0,0.0,0.45,0.1,26
0.36,0.0,18,1,0.0,0.0,0.45,0.1,27
0.0,0.0,0,0,0.0,0.0,0.45,0.1,28
0.49333333333333335,0.0,74,3,0.0,0.0,0.45,0.1,29
0.4775,0.0,191,8,0.0,0.0,0.45,0.5,0
0.425,0.0,170,8,0.0,0.0,0.45,0.5,1
0.484,0.0,242,10,0.0,0.0,0.45,0.5,2
0.41333333333333333,0.0,124,6,0.0,0.0,0.45,0.5,3
0.45,0.0,45,2,0.0,0.0,0.45,0.5,4
0.43,0.0,43,2,0.0,0.0,0.45,0.5,5
0.435,0.0,87,4,0.0,0.0,0.45,0.5,6
0.48,0.0,168,7,0.0,0.0,0.45,0.5,7
0.4066666666666667,0.0,61,3,0.0,0.0,0.45,0.5,8
0.54,0.0,54,2,0.0,0.0,0.45,0.5,9
0.46,0.0,92,4,0.0,0.0,0.45,0.5,10
0.47333333333333333,0.0,71,3,0.0,0.0,0.45,0.5,11
0.45,0.0,135,6,0.0,0.0,0.45,0.5,12
0.43454545454545457,0.0,239,11,0.0,0.0,0.45,0.5,13
0.4444444444444444,0.0,200,9,0.0,0.0,0.45,0.5,14
0.4575,0.0,183,8,0.0,0.0,0.45,0.5,15
0.445,0.0,89,4,0.0,0.0,0.45,0.5,16
0.43,0.0,172,8,0.0,0.0,0.45,0.5,17
0.475,0.0,95,4,0.0,0.0,0.45,0.5,18
0.488,0.0,122,5,0.0,0.0,0.45,0.5,19
0.4742857142857143,0.0,166,7,0.0,0.0,0.45,0.5,20
0.412,0.0,103,5,0.0,0.0,0.45,0.5,21
0.54,0.0,81,3,0.0,0.0,0.45,0.5,22
0.465,0.0,93,4,0.0,0.0,0.45,0.5,23
0.4266666666666667,0.0,64,3,0.0,0.0,0.45,0.5,24
0.38,0.0,19,1,0.0,0.0,0.45,0.5,25
0.475,0.0,95,4,0.0,0.0,0.45,0.5,26
0.408,0.0,102,5,0.0,0.0,0.45,0.5,27
0.4825,0.0,193,8,0.0,0.0,0.45,0.5,28
