lambda,theoretical_mean,observed_mean,observed_median,theoretical_median,ks_statistic,p_value,n_samples
0.2,5.0,4.998941391320543,3.493185,3.465735902799726,0.007521890149542007,0.9193533654659188,5369
0.5,2.0,2.0021897,1.3833615,1.3862943611198906,0.009789249578947945,0.25169128839022714,10770
1.0,1.0,1.010048161890244,0.6955365,0.6931471805599453,0.005672733973095229,0.5490527915585873,19680
2.0,0.5,0.5054898403019433,0.347716,0.34657359027997264,0.004498701087956247,0.43489866819624345,37358
