lambda,theoretical_mean,observed_mean,observed_median,theoretical_median,ks_statistic,p_value,n_samples
0.5,2.0,2.0359997333333335,1.3576,1.3862943611198906,0.04082807312710729,0.5456529325315571,375
1.0,1.0,0.9935361416361418,0.682,0.6931471805599453,0.028414531936896026,0.5136818285715975,819
2.0,0.5,0.500882084095064,0.3558,0.34657359027997264,0.026677508764439528,0.1898893906021366,1641
