p_detection,lambda_attack_rate,mean,std
0.7,0.5,0.0,0.0
0.7,1.0,0.0,0.0
0.7,2.0,0.0,0.0
0.85,0.5,0.0,0.0
0.85,1.0,0.0,0.0
0.85,2.0,0.0,0.0
0.95,0.5,0.0,0.0
0.95,1.0,0.0,0.0
0.95,2.0,0.0,0.0
