lambda,theoretical_mean,observed_mean,observed_median,theoretical_median,ks_statistic,p_value,n_samples
0.2,5.0,2.3710875975062344,1.822626,3.465735902799726,0.25954222654052483,1.2672532702110236e-119,2005
0.5,2.0,1.528125122161861,1.096488,1.3862943611198906,0.09178189886809207,4.457230119006456e-53,7179
1.0,1.0,0.8966111734452735,0.627145,0.6931471805599453,0.039151025487270674,7.484580883208893e-22,16080
2.0,0.5,0.47823379036080343,0.33043900000000004,0.34657359027997264,0.018560969246295356,1.560624606528899e-10,33758
