lambda,expected_mean,observed_mean,observed_std,chi2_statistic,p_value,n_bins
0.2,2.0,1.9827777777777778,1.3861191702546236,2.662814153439154,0.914346421346933,8
0.5,5.0,4.983333333333333,2.245556417513416,3.784444319763181,0.987019343935217,13
1.0,10.0,9.933333333333334,3.230620589624823,13.16187970104903,0.7252835067570464,18
2.0,20.0,19.754444444444445,4.423235961049053,17.542897199610913,0.8246032305972067,25
